similarity_sc,levenshtein_sc,similarity_LSTM,levenshtein_LSTM,similarity_markov,levenshtein_markov,similarity_markov_2,levenshtein_markov_2
0.7884615384615384,24,0.8135593220338984,21,0.88,27,0.56,46
0.538961038961039,50,0.7569444444444444,29,0.7737226277372263,35,0.7465753424657534,59
0.7806451612903226,57,0.7470588235294118,68,0.7884615384615384,59,0.6705882352941176,121
0.6172839506172839,48,0.6329113924050633,42,0.625,46,0.4803921568627451,68
0.5568181818181818,59,0.6823529411764706,45,0.6428571428571429,58,0.6333333333333333,74
0.658273381294964,109,0.6631944444444444,122,0.6466431095406361,144,0.5727848101265823,189
0.6649214659685864,78,0.7604166666666666,72,0.7237569060773481,85,0.5793991416309013,151
0.6861313868613139,141,0.75177304964539,94,0.6906474820143885,126,0.5974025974025974,140
0.6833333333333333,36,0.7966101694915254,24,0.8135593220338984,31,0.5217391304347826,63
0.5019305019305019,177,0.8109243697478992,98,0.801762114537445,123,0.6730038022813688,179
0.6041666666666666,45,0.7692307692307693,28,0.6808510638297872,44,0.6870748299319728,45
0.5094339622641509,126,0.64,95,0.6224489795918368,107,0.532258064516129,136
0.67,33,0.696078431372549,25,0.851063829787234,23,0.6581196581196581,75
0.7058823529411765,33,0.6470588235294118,22,0.7647058823529411,32,0.6470588235294118,29
0.6631578947368421,47,0.8837209302325582,24,0.7294117647058823,43,0.21863799283154123,394
0.7064220183486238,71,0.8027522935779816,105,0.819047619047619,68,0.7021276595744681,146
0.5662650602409639,52,0.53,50,0.5930232558139535,53,0.5444444444444444,52
0.6666666666666666,6,0.6666666666666666,6,0.6666666666666666,6,0.6666666666666666,6
0.6554621848739496,72,0.7222222222222222,78,0.6837606837606838,74,0.6153846153846154,85
0.7094594594594594,37,0.8450704225352113,22,0.8832116788321168,28,0.5253456221198156,134
0.53,243,0.7323420074349443,179,0.6945454545454546,193,0.6,241
0.6566523605150214,81,0.631578947368421,139,0.6527196652719666,91,0.5407407407407407,126
0.5767195767195767,107,0.776536312849162,86,0.6888888888888889,100,0.6630434782608695,113
0.5224719101123596,106,0.5482233502538071,105,0.6055555555555555,102,0.38626609442060084,152
0.6855345911949685,68,0.6705202312138728,78,0.7658227848101266,66,0.5966850828729282,105
0.5983606557377049,38,0.8,23,0.7678571428571429,34,0.725,36
0.43478260869565216,67,0.711864406779661,52,0.6666666666666666,57,0.7,56
0.6047904191616766,102,0.6417112299465241,106,0.6727272727272727,92,0.5955056179775281,145
0.5017301038062284,104,0.8379446640316206,39,0.690566037735849,77,0.5979381443298969,105
0.5,81,0.7301587301587301,51,0.5916666666666667,69,0.5100671140939598,82
0.6808510638297872,37,0.5885714285714285,77,0.7730496453900709,44,0.3257918552036199,122
0.659217877094972,48,0.6630434782608695,52,0.6424581005586593,63,0.6020942408376964,70
0.5219123505976095,107,0.7457627118644068,55,0.7161572052401747,80,0.4721311475409836,154
0.5956521739130435,120,0.7824074074074074,131,0.7452830188679245,99,0.7627906976744186,114
0.6435045317220544,172,0.881578947368421,86,0.7741935483870968,140,0.628099173553719,252
0.4827586206896552,72,0.75,45,0.6363636363636364,61,0.5,67
0.7135416666666666,175,0.7889447236180904,153,0.7772020725388601,164,0.611353711790393,214
0.5190476190476191,162,0.8655913978494624,91,0.7621621621621621,115,0.6650717703349283,141
0.53125,188,0.6846846846846847,145,0.6807511737089202,161,0.48091603053435117,220
0.6881188118811881,79,0.5907335907335908,153,0.79,74,0.6363636363636364,119
0.5833333333333334,189,0.7324414715719063,169,0.6357388316151202,176,0.6028985507246377,216
0.686046511627907,47,0.810126582278481,28,0.8076923076923077,39,0.7721518987341772,37
0.6524390243902439,107,0.7468354430379747,87,0.7697368421052632,92,0.7076023391812866,187
0.5395348837209303,142,0.7352941176470589,92,0.616504854368932,120,0.5155555555555555,168
0.6627218934911243,213,0.7373134328358208,166,0.7632398753894081,188,0.688953488372093,220
0.7440476190476191,104,0.8823529411764706,60,0.7901234567901234,105,0.6575342465753424,152
0.5555555555555556,67,0.7093023255813954,52,0.6404494382022472,64,0.7710843373493976,53
0.6395663956639567,251,0.8267045454545454,180,0.8053892215568862,205,0.6631853785900783,355
0.5226586102719033,156,0.8040540540540541,91,0.7610921501706485,112,0.6604938271604939,156
0.5803571428571429,95,0.6964285714285714,74,0.6863636363636364,93,0.6816143497757847,126
0.5163934426229508,46,0.7387387387387387,32,0.5811965811965812,42,0.4697986577181208,76
0.5876288659793815,103,0.825136612021858,53,0.7027027027027027,89,0.7486631016042781,88
0.6701030927835051,40,0.5981308411214953,57,0.6808510638297872,45,0.6956521739130435,46
0.5955882352941176,125,0.6808510638297872,117,0.7086614173228346,105,0.46859903381642515,195
0.5818965517241379,142,0.7981651376146789,92,0.7511737089201878,107,0.7043478260869566,128
0.6428571428571429,183,0.748898678414097,131,0.6933333333333334,165,0.575187969924812,286
0.6026490066225165,211,0.8133802816901409,123,0.775,158,0.6616314199395771,271
0.6027397260273972,74,0.7453703703703703,56,0.719047619047619,69,0.6170212765957447,90
0.6107594936708861,245,0.6897590361445783,218,0.8,191,0.7635782747603834,245
0.717741935483871,141,0.8192771084337349,119,0.7401574803149606,141,0.7185185185185186,147
0.5138888888888888,30,0.6857142857142857,19,0.6567164179104478,27,0.6521739130434783,26
0.631578947368421,20,0.9387755102040817,10,0.9183673469387755,13,0.5692307692307692,34
0.5756302521008403,123,0.7327586206896551,97,0.7207207207207207,99,0.6949152542372882,125
0.4562043795620438,188,0.7377049180327869,93,0.672,131,0.6468401486988847,135
0.6601941747572816,123,0.757847533632287,72,0.7611940298507462,118,0.815,94
0.5684931506849316,70,0.6666666666666666,62,0.7536231884057971,57,0.6358024691358025,79
0.7227722772277227,58,0.8725490196078431,43,0.8144329896907216,54,0.6792452830188679,68
0.6138613861386139,59,0.7821782178217822,39,0.6470588235294118,55,0.6698113207547169,62
0.5746268656716418,267,0.6946564885496184,152,0.7424892703862661,200,0.5253731343283582,318
0.4483985765124555,134,0.7211155378486056,74,0.6181102362204725,103,0.6640625,104
0.6444444444444445,212,0.708994708994709,161,0.6533333333333333,220,0.589242053789731,253
0.6009615384615384,105,0.7853658536585366,62,0.6911764705882353,99,0.532258064516129,168
0.5632183908045977,46,0.6741573033707865,39,0.6309523809523809,41,0.5638297872340425,51
0.574468085106383,119,0.5961538461538461,115,0.4774193548387097,132,0.47701149425287354,138
0.6746987951807228,29,0.7078651685393258,27,0.7307692307692307,33,0.6436781609195402,37
0.3023255813953488,21,0.7027027027027027,12,0.7142857142857143,12,0.6756756756756757,14
0.7380952380952381,18,0.8095238095238095,16,0.8095238095238095,19,0.8095238095238095,20
0.696969696969697,36,0.7123287671232876,33,0.7903225806451613,36,0.746268656716418,39
0.6575342465753424,27,0.8484848484848485,9,0.8181818181818182,20,0.7066666666666667,35
0.6133333333333333,108,0.7905405405405406,63,0.673469387755102,99,0.562874251497006,105
0.5725490196078431,164,0.8326180257510729,94,0.7927927927927928,127,0.8125,123
0.5279503105590062,85,0.7368421052631579,52,0.738255033557047,56,0.6583850931677019,73
0.5,161,0.8677685950413223,78,0.578125,124,0.576,126
0.6,56,0.7671232876712328,40,0.6712328767123288,49,0.6794871794871795,48
0.8888888888888888,12,0.8888888888888888,12,0.8888888888888888,11,0.6363636363636364,13
0.5607476635514018,79,0.7027027027027027,61,0.5486725663716814,90,0.6822429906542056,89
0.6776315789473685,120,0.8397435897435898,75,0.8175675675675675,107,0.8120805369127517,122
0.38461538461538464,56,0.6933333333333334,30,0.6056338028169014,45,0.7313432835820896,37
0.5576923076923077,44,0.7735849056603774,32,0.8,39,0.8125,37
0.6915887850467289,69,0.8285714285714286,44,0.9072164948453608,49,0.8431372549019608,53
0.6231884057971014,29,0.6578947368421053,33,0.8095238095238095,25,0.5238095238095238,47
0.5238095238095238,30,0.723404255319149,22,0.675,25,0.5813953488372093,28
0.5619047619047619,79,0.7850467289719626,44,0.7346938775510204,64,0.6610169491525424,76
0.5630252100840336,79,0.6491228070175439,42,0.6886792452830188,64,0.7592592592592593,62
0.5055350553505535,156,0.6666666666666666,229,0.6511627906976745,142,0.644927536231884,159
0.5972696245733788,177,0.7066666666666667,129,0.7306273062730627,142,0.6710526315789473,191
0.5891891891891892,165,0.7112299465240641,113,0.6857142857142857,137,0.6988636363636364,134
0.5652173913043478,21,0.4307692307692308,59,0.6444444444444445,21,0.29411764705882354,69
0.6510067114093959,95,0.9302325581395349,40,0.7954545454545454,69,0.7638888888888888,69
0.5631067961165048,73,0.925531914893617,32,0.71875,59,0.7171717171717171,59
0.5150501672240803,261,0.7087719298245614,179,0.6254416961130742,206,0.6032786885245902,289
0.5352112676056338,29,0.6666666666666666,22,0.6231884057971014,27,0.5657894736842105,32
0.711340206185567,42,0.9263157894736842,10,0.7422680412371134,40,0.6491228070175439,58
0.5555555555555556,105,0.788135593220339,72,0.7207207207207207,86,0.59375,116
0.7647058823529411,20,0.7464788732394366,20,0.676056338028169,25,0.6097560975609756,30
0.660377358490566,43,0.4225352112676056,91,0.4296875,72,0.3372093023255814,124
0.7608695652173914,37,0.7052631578947368,29,0.717391304347826,35,0.7391304347826086,33
0.684981684981685,149,0.8745098039215686,74,0.81640625,120,0.7677902621722846,130
0.6735395189003437,169,0.8169014084507042,120,0.7992831541218638,141,0.6932907348242812,201
0.632183908045977,41,0.7613636363636364,24,0.6781609195402298,44,0.6629213483146067,47
0.34814814814814815,87,0.6446280991735537,56,0.5537190082644629,67,0.5179856115107914,75
0.59375,56,0.6136363636363636,65,0.6352201257861635,70,0.569060773480663,165
0.5110132158590308,131,0.5909090909090909,123,0.7839195979899497,97,0.6741071428571429,126
0.7395833333333334,30,0.74,28,0.776595744680851,31,0.6363636363636364,45
0.6479591836734694,75,0.8333333333333334,42,0.6820512820512821,80,0.4153846153846154,143
0.5923566878980892,171,0.6470588235294118,138,0.620253164556962,142,0.688622754491018,128
0.6066481994459834,259,0.806060606060606,170,0.786144578313253,200,0.662303664921466,394
0.4947916666666667,148,0.7740112994350282,98,0.6936416184971098,119,0.6041666666666666,139
0.5596707818930041,105,0.7300884955752213,81,0.6710526315789473,94,0.6234309623430963,109
0.6428571428571429,59,0.8947368421052632,32,0.7792207792207793,48,0.5267857142857143,75
0.5833333333333334,141,0.7547169811320755,98,0.6407766990291263,127,0.6761904761904762,122
0.5808580858085809,211,0.6554878048780488,227,0.7572463768115942,158,0.7123745819397993,190
0.7135416666666666,76,0.7526315789473684,63,0.774869109947644,75,0.5128205128205128,151
0.5348837209302325,113,0.7372881355932204,69,0.6370967741935484,100,0.6212121212121212,106
0.5864197530864198,270,0.7639751552795031,237,0.6463414634146342,257,0.6041666666666666,271
0.6181818181818182,86,0.8631578947368421,34,0.7475728155339806,67,0.8229166666666666,55
0.5895522388059702,64,0.9743589743589743,6,0.744,51,0.7050359712230215,57
0.6509433962264151,84,0.5983606557377049,123,0.6055045871559633,82,0.4411764705882353,98
