similarity_sc,levenshtein_sc,similarity_LSTM,levenshtein_LSTM,similarity_markov,levenshtein_markov,similarity_markov_2,levenshtein_markov_2
0.6851851851851852,37,0.7419354838709677,30,0.6166666666666667,43,0.5652173913043478,44
0.5419354838709678,52,0.75,28,0.6917808219178082,40,0.4972375690607735,96
0.5818181818181818,84,0.7333333333333333,68,0.7341772151898734,69,0.5675675675675675,104
0.5866666666666667,46,0.6179775280898876,50,0.6133333333333333,42,0.5232558139534884,56
0.5760869565217391,54,0.6951219512195121,42,0.6,56,0.5934065934065934,62
0.6654804270462633,108,0.5027777777777778,226,0.5939597315436241,147,0.5386904761904762,194
0.515,114,0.7956989247311828,69,0.76,83,0.5800865800865801,168
0.47368421052631576,170,0.6201550387596899,124,0.6397058823529411,126,0.6376811594202898,130
0.6428571428571429,36,0.8627450980392157,23,0.8627450980392157,24,0.5227272727272727,53
0.4844961240310077,185,0.7061224489795919,124,0.7402597402597403,128,0.5795454545454546,189
0.6099290780141844,49,0.7397260273972602,32,0.7647058823529411,35,0.6870748299319728,54
0.5625,150,0.4774774774774775,142,0.6847826086956522,124,0.4186046511627907,144
0.6454545454545455,34,0.5847457627118644,36,0.6666666666666666,34,0.4931506849315068,105
0.4444444444444444,35,0.6666666666666666,28,0.5,31,0.5555555555555556,30
0.6627906976744186,46,0.7865168539325843,32,0.7674418604651163,45,0.23943661971830985,328
0.7123287671232876,77,0.7544642857142857,61,0.7757009345794392,78,0.6812749003984063,192
0.44047619047619047,53,0.7307692307692307,36,0.6363636363636364,44,0.6024096385542169,44
0.2222222222222222,14,0.2222222222222222,14,0.2222222222222222,14,0.2222222222222222,14
0.5267175572519084,82,0.39375,133,0.4846153846153846,86,0.46099290780141844,90
0.6950354609929078,36,0.835820895522388,20,0.823076923076923,29,0.3601694915254237,138
0.5135135135135135,259,0.7269230769230769,240,0.6666666666666666,217,0.6816479400749064,236
0.47470817120622566,101,0.4558303886925795,157,0.6401673640167364,86,0.5817490494296578,110
0.6306818181818182,90,0.694300518134715,102,0.7514450867052023,92,0.6467661691542289,117
0.3695652173913043,130,0.4117647058823529,175,0.3945945945945946,129,0.43577981651376146,160
0.6392405063291139,73,0.7320261437908496,66,0.7315436241610739,67,0.546448087431694,105
0.5982905982905983,36,0.7652173913043478,20,0.7053571428571429,31,0.8256880733944955,22
0.3939393939393939,80,0.6896551724137931,63,0.6166666666666667,68,0.65,66
0.6107784431137725,106,0.6185567010309279,140,0.592814371257485,109,0.5303867403314917,148
0.4276094276094276,125,0.6438848920863309,79,0.5760869565217391,104,0.5134228187919463,126
0.4,90,0.5460992907801419,71,0.5039370078740157,81,0.4552238805970149,84
0.6412213740458015,37,0.3898305084745763,79,0.39634146341463417,68,0.24489795918367346,100
0.5297297297297298,66,0.4098360655737705,148,0.5769230769230769,71,0.3487394957983193,147
0.44573643410852715,130,0.4768211920529801,197,0.5219123505976095,110,0.4717607973421927,145
0.6846846846846847,109,0.6707317073170732,134,0.7674418604651163,99,0.8084112149532711,96
0.5963302752293578,196,0.78125,186,0.6872964169381107,169,0.5407608695652174,290
0.3442622950819672,79,0.5901639344262295,57,0.5454545454545454,69,0.5081967213114754,67
0.582089552238806,199,0.5265486725663717,205,0.625,178,0.5086206896551724,219
0.4383561643835616,188,0.6923076923076923,128,0.6767676767676768,129,0.48132780082987553,168
0.4291845493562232,209,0.6695278969957081,212,0.5695067264573991,193,0.4939271255060729,207
0.5970873786407767,94,0.6171171171171171,93,0.6634615384615384,92,0.5466101694915254,118
0.5116279069767442,219,0.5784883720930233,234,0.594059405940594,201,0.5393258426966292,244
0.6195652173913043,61,0.7564102564102564,42,0.6785714285714286,52,0.7435897435897436,44
0.5602409638554217,124,0.7218934911242604,94,0.7450980392156863,91,0.7,100
0.484304932735426,155,0.6981132075471698,87,0.5813953488372093,137,0.4103585657370518,188
0.5689655172413793,249,0.7046153846153846,184,0.6413373860182371,229,0.6559766763848397,236
0.7068965517241379,135,0.7403314917127072,143,0.7764705882352941,114,0.5980392156862745,152
0.6309523809523809,59,0.8157894736842105,41,0.7469879518072289,56,0.7215189873417721,45
0.4902439024390244,330,0.7429378531073446,240,0.7619047619047619,208,0.6220095693779905,410
0.4636363636363636,168,0.7432432432432432,111,0.5895765472312704,153,0.5828402366863905,222
0.5106382978723404,127,0.719626168224299,90,0.680365296803653,100,0.6383928571428571,146
0.6018518518518519,41,0.7079646017699115,82,0.6203703703703703,40,0.5040650406504065,57
0.5531914893617021,106,0.9047619047619048,53,0.7456647398843931,84,0.8160919540229885,82
0.5567010309278351,50,0.7263157894736842,34,0.6595744680851063,46,0.4064516129032258,110
0.4744525547445255,149,0.6106870229007634,110,0.6048387096774194,107,0.416289592760181,247
0.47107438016528924,192,0.7880184331797235,114,0.6621621621621622,145,0.541501976284585,186
0.5101214574898786,213,0.5678571428571428,225,0.6291666666666667,178,0.5418060200668896,305
0.49206349206349204,248,0.7558528428093646,186,0.6552901023890785,196,0.68,202
0.5131578947368421,92,0.6190476190476191,89,0.6511627906976745,83,0.5889830508474576,95
0.5171339563862928,245,0.6243243243243243,345,0.6777408637873754,215,0.6426332288401254,231
0.50187265917603,187,0.7279693486590039,128,0.7551867219917012,136,0.6923076923076923,145
0.5757575757575758,23,0.6,21,0.65625,21,0.5571428571428572,25
0.59375,23,0.8947368421052632,10,0.5522388059701493,26,0.5285714285714286,28
0.5211864406779662,136,0.6434108527131783,149,0.6536796536796536,119,0.6557377049180327,133
0.4827586206896552,184,0.7446808510638298,90,0.6275303643724697,131,0.6088560885608856,139
0.6138613861386139,130,0.7339901477832512,79,0.702020202020202,117,0.766497461928934,93
0.3902439024390244,102,0.5759493670886076,84,0.4868421052631579,85,0.5436241610738255,80
0.7476635514018691,65,0.6434108527131783,80,0.7619047619047619,68,0.6356589147286822,101
0.509090909090909,72,0.6699029126213593,53,0.6224489795918368,58,0.6346153846153846,68
0.5176470588235295,297,0.6804511278195489,197,0.5642023346303502,255,0.48742138364779874,318
0.397887323943662,168,0.5047619047619047,177,0.5795454545454546,133,0.5540540540540541,154
0.5555555555555556,263,0.5813397129186603,258,0.6106666666666667,251,0.5083932853717026,294
0.5395348837209303,128,0.6484018264840182,89,0.7474747474747475,109,0.5158730158730159,181
0.5652173913043478,49,0.5333333333333333,95,0.6477272727272727,46,0.5247524752475248,58
0.5724137931034483,111,0.42152466367713004,234,0.5555555555555556,120,0.4039408866995074,149
0.5698924731182796,41,0.7922077922077922,23,0.5955056179775281,41,0.6105263157894737,35
0.275,20,0.45,14,0.4857142857142857,14,0.6176470588235294,10
0.7619047619047619,19,0.7441860465116279,18,0.7619047619047619,21,0.7619047619047619,21
0.5555555555555556,52,0.7936507936507936,31,0.7121212121212122,41,0.7164179104477612,41
0.589041095890411,31,0.8548387096774194,10,0.7424242424242424,22,0.6266666666666667,36
0.42073170731707316,142,0.717948717948718,89,0.538961038961039,124,0.5689655172413793,135
0.6584362139917695,158,0.7258064516129032,134,0.7964601769911505,125,0.8141592920353983,115
0.6242038216560509,74,0.5824175824175825,113,0.7551020408163265,64,0.6923076923076923,74
0.45925925925925926,165,0.8695652173913043,125,0.7833333333333333,106,0.775,105
0.524390243902439,64,0.782608695652174,34,0.746268656716418,45,0.782608695652174,42
0.4444444444444444,12,0.4444444444444444,12,0.4444444444444444,12,0.45454545454545453,11
0.504424778761062,84,0.6538461538461539,82,0.5546218487394958,78,0.7155172413793104,74
